ticker,fiscalPeriod,estimateType,estimateDate,relativeFiscalPeriod,estimates,upRevisions,downRevisions,mean,high,low,price
AAPL,2023FY,E,2023-07-06T00:00:00,1,36,17,8,5.9934,6.29,5.73,191.81
AAPL,2023FY,E,2023-07-10T00:00:00,1,37,17,8,5.9936,6.29,5.73,188.61
AAPL,2023FY,E,2023-07-14T00:00:00,1,38,17,8,5.994,6.29,5.73,190.69
AAPL,2023FY,E,2023-07-17T00:00:00,1,38,17,7,5.9953,6.29,5.73,193.99
AAPL,2023FY,E,2023-07-19T00:00:00,1,38,2,2,5.9934,6.29,5.73,195.1
AAPL,2023FY,E,2023-07-24T00:00:00,1,38,2,2,5.9921,6.29,5.73,192.75
AAPL,2023FY,E,2023-07-25T00:00:00,1,38,2,2,5.9915,6.29,5.73,193.62
AAPL,2023FY,E,2023-07-26T00:00:00,1,38,2,2,5.9927,6.29,5.73,194.5
AAPL,2023FY,E,2023-07-31T00:00:00,1,38,2,2,5.9941,6.29,5.73,196.45
AAPL,2023FY,E,2023-08-02T00:00:00,1,38,2,1,5.9941,6.29,5.73,192.58
AAPL,2023FY,E,2023-08-04T00:00:00,1,40,23,2,6.0487,6.2,5.78,181.99
AAPL,2023FY,E,2023-08-07T00:00:00,1,40,23,2,6.0486,6.2,5.78,178.85
AAPL,2023FY,E,2023-08-09T00:00:00,1,40,22,2,6.0486,6.2,5.78,178.19
AAPL,2023FY,E,2023-08-11T00:00:00,1,40,22,2,6.0499,6.2,5.78,177.79
AAPL,2023FY,E,2023-08-13T00:00:00,1,40,21,2,6.0499,6.2,5.78,177.79
AAPL,2023FY,E,2023-08-14T00:00:00,1,40,21,2,6.0507,6.2,5.78,179.46
AAPL,2023FY,E,2023-08-16T00:00:00,1,39,21,2,6.0522,6.2,5.78,176.57
AAPL,2023FY,E,2023-08-26T00:00:00,1,39,20,2,6.0522,6.2,5.78,178.61
AAPL,2023FY,E,2023-08-30T00:00:00,1,39,20,3,6.0496,6.1114,5.78,187.65
AAPL,2023FY,E,2023-09-06T00:00:00,1,40,20,3,6.0503,6.1114,5.78,182.91
AAPL,2023FY,E,2023-09-07T00:00:00,1,39,20,3,6.0513,6.1114,5.78,177.56
AAPL,2023FY,E,2023-09-12T00:00:00,1,39,21,3,6.0558,6.1114,5.78,176.3
AAPL,2023FY,E,2023-09-14T00:00:00,1,40,21,3,6.0559,6.1114,5.78,175.74
AAPL,2023FY,E,2023-09-15T00:00:00,1,40,22,3,6.0557,6.1114,5.78,175.01
AAPL,2023FY,E,2023-10-02T00:00:00,1,40,22,3,6.0557,6.1114,5.78,173.75
AAPL,2023FY,E,2023-10-09T00:00:00,1,40,21,3,6.0557,6.1114,5.78,178.99
AAPL,2023FY,E,2023-10-17T00:00:00,1,41,21,3,6.0559,6.1114,5.78,177.15
AAPL,2023FY,E,2023-10-18T00:00:00,1,41,2,1,6.0559,6.1114,5.78,175.84
AAPL,2023FY,E,2023-10-24T00:00:00,1,41,2,1,6.0564,6.1114,5.78,173.44
AAPL,2023FY,E,2023-10-25T00:00:00,1,41,2,1,6.0562,6.1114,5.78,171.1
AAPL,2023FY,E,2023-10-27T00:00:00,1,41,2,1,6.0581,6.1114,5.78,168.22
AAPL,2023FY,E,2023-10-30T00:00:00,1,41,2,1,6.0574,6.1114,5.78,170.29
AAPL,2023FY,R,2023-07-06T00:00:00,1,36,17,8,5.9934,6.29,5.73,191.81
AAPL,2023FY,R,2023-07-10T00:00:00,1,37,17,8,5.9936,6.29,5.73,188.61
AAPL,2023FY,R,2023-07-14T00:00:00,1,38,17,8,5.994,6.29,5.73,190.69
AAPL,2023FY,R,2023-07-17T00:00:00,1,38,17,7,5.9953,6.29,5.73,193.99
AAPL,2023FY,R,2023-07-19T00:00:00,1,38,2,2,5.9934,6.29,5.73,195.1
AAPL,2023FY,R,2023-07-24T00:00:00,1,38,2,2,5.9921,6.29,5.73,192.75
AAPL,2023FY,R,2023-07-25T00:00:00,1,38,2,2,5.9915,6.29,5.73,193.62
AAPL,2023FY,R,2023-07-26T00:00:00,1,38,2,2,5.9927,6.29,5.73,194.5
AAPL,2023FY,R,2023-07-31T00:00:00,1,38,2,2,5.9941,6.29,5.73,196.45
AAPL,2023FY,R,2023-08-02T00:00:00,1,38,2,1,5.9941,6.29,5.73,192.58
AAPL,2023FY,R,2023-08-04T00:00:00,1,40,23,2,6.0487,6.2,5.78,181.99
