 Currency in USD  , Current Qtr. (Mar 2026)  , Next Qtr. (Jun 2026)  , Current Year (2026)  , Next Year (2027)  
      No. of Analysts ,      30 ,      27 ,      40 ,      42 
      Avg. Estimate ,      1.95 ,      1.73 ,      8.48 ,      9.3 
      Low Estimate ,      1.83 ,      1.59 ,      8.15 ,      8.36 
      High Estimate ,      2.16 ,      1.86 ,      8.97 ,      10.19 
      Year Ago EPS ,      1.65 ,      1.57 ,      7.46 ,      8.48 
