 Currency in USD  , Current Qtr. (Mar 2026)  , Next Qtr. (Jun 2026)  , Current Year (2026)  , Next Year (2027)  
      Up Last 7 Days ,      2 ,      -- ,      31 ,      4 
      Up Last 30 Days ,      24 ,      14 ,      32 ,      22 
      Down Last 7 Days ,      -- ,      2 ,      -- ,      -- 
      Down Last 30 Days ,      -- ,      10 ,      -- ,      6 
