Value
9/27/2025
12/27/2025
27.04%
35.37%
24.38%
152.02%
435.62B
29.31
15.70%
206.16B
152.9B
117.78B
7.91
15.90%
66.91B
4.56
90.51B
102.63%
0.97
6.00
135.47B
106.31B
