 Currency in USD  , Current Qtr. (Mar 2026)  , Next Qtr. (Jun 2026)  , Current Year (2026)  , Next Year (2027)  
      Current Estimate ,      1.95 ,      1.73 ,      8.48 ,      9.3 
      7 Days Ago ,      1.94 ,      1.7 ,      8.47 ,      9.3 
      30 Days Ago ,      1.84 ,      1.71 ,      8.27 ,      9.14 
      60 Days Ago ,      1.84 ,      1.71 ,      8.27 ,      9.13 
      90 Days Ago ,      1.84 ,      1.71 ,      8.23 ,      9.07 
