Value
1.11
18.06%
14.77%
288.62
169.21
268.66
238.92
48.12M
62.75M
14.68B
14.7B
14.66B
1.70%
65.09%
113.58M
2.61
0.77%
0.77%
122.04M
1.04
0.38%
1.03
0.38%
0.52
13.04%
2/12/2026
2/9/2026
4:1
8/31/2020
